INDICATOR,Indicator
CME_ARR_10T19,Annual Rate of Reduction in Mortality Rate Age 10-19
CME_ARR_SBR,Annual rate of reduction in stillbirth rate
CME_ARR_U5MR,Annual rate of reduction in under-five mortality rate
CME_MRM0,Neonatal mortality rate
CME_MRM1T11,Mortality rate age 1-11 months
CME_MRM1T59,Mortality rate 1-59 months
CME_MRY0,Infant mortality rate
CME_MRY0T4,Under-five mortality rate
CME_MRY10T14,Mortality rate age 10-14
CME_MRY10T19,Mortality rate age 10-19
CME_MRY15T19,Mortality rate age 15-19
CME_MRY15T24,Mortality rate age 15-24
CME_MRY1T4,Child mortality rate (aged 1-4 years)
CME_MRY20T24,Mortality rate age 20-24
CME_MRY5T14,Mortality rate (children aged 5 to 14 years)
CME_MRY5T24,Mortality rate age 5-24
CME_MRY5T9,Mortality rate age 5-9
CME_PND,Neonatal deaths as a percentage of under-five deaths
CME_SB,Stillbirths
CME_SBR,Stillbirth rate
CME_TMM0,Neonatal deaths
CME_TMM1T11,Deaths age 1-11 months
CME_TMM1T59,Deaths age 1-59 months
CME_TMY0,Infant deaths
CME_TMY0T4,Under-five deaths
CME_TMY10T14,Deaths aged 10 to 14
CME_TMY10T19,Deaths aged 10 to 19
CME_TMY15T19,Deaths aged 15 to 19
CME_TMY15T24,Deaths aged 15 to 24
CME_TMY1T4,Child deaths (aged 1-4 years)
CME_TMY20T24,Deaths aged 20 to 24
CME_TMY5T14,Deaths (children aged 5-14)
CME_TMY5T24,Deaths aged 5 to 24
CME_TMY5T9,Deaths aged 5 to 9
DM_BRTS,Number of births
DM_BRTS_SURVIVING_1,Live Births Surviving to Age 1
DM_DPR_CHD,Child dependency ratio
DM_DPR_OLD,Old age dependency ratio
DM_DPR_TOT,Total dependency ratio
DM_FRATE_TOT,Total fertility rate
DM_LIFE_EXP,Life expectancy
DM_NET_MG_RATE,"Net migration rate (per 1,000 population)"
DM_POP_15TO24,Youth population from 15 to 24
DM_POP_ADLCNT,Adolescent population (10-19)
DM_POP_ADLCNT_PROP,Adolescent population as proportion of total population (%)
DM_POP_CHILD_PROP,Children population as proportion of total population (%)
DM_POP_GRT,Population annual growth rate
DM_POP_TOT,Total population
DM_POP_U18,Population under age 18
DM_POP_U5,Population under age 5
ECD_CHLD_36-59M_EDU-PGM,Percentage of children aged 36-59 months attending an early childhood education programme
ECON_GVT_EDU_EXP_PTEXP,government expenditure on education (% government budget)
ECON_GVT_EDU_EXP_PTGDP,government expenditure on education (% GDP)
ECON_GVT_EXP_PTGDP,government expenditure (% GDP)
ECON_GVT_HLTH_EXP_PTEXP,government expenditure on health (% government budget)
ECON_GVT_HLTH_EXP_PTGDP,government expenditure on health (% GDP)
ECON_GVT_REV_PTGDP,government revenue (%GDP)
ECON_ODA_INFLOW_PTGNI,ODA inflow (%GNI)
ECON_ODA_INFLOW_USD,ODA inflow (USD)
ECON_SOC_PRO_EXP_PTEXP,government expenditure on social protection (% government budget)
ECON_SOC_PRO_EXP_PTGDP,government expenditure on social protection (% GDP)
ED_ANAR_L02,"Adjusted net attendance rate, one year before the official primary entry age"
ED_ANAR_L1,Adjusted net attendance rate for children of primary school age
ED_ANAR_L2,Adjusted net attendance rate for adolescents of lower secondary school age
ED_ANAR_L3,Adjusted net attendance rate for youth of upper secondary school age
ED_CR_L1,Completion rate for children of primary school age
ED_CR_L2,Completion rate for adolescents of lower secondary school age
ED_CR_L3,Completion rate for youth of upper secondary education school age
ED_ROFST_L02_ADM,Out-of-school rate for children one year younger than official entry age (administrative data)
ED_ROFST_L1,Out-of-school rate for children of primary school age
ED_ROFST_L2,Out-of-school rate for adolescents of lower secondary school age
ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age
GN_ED_ATTN,Educational attainment of the population (aged 25 years and older)
GN_FB_BNK_ACCSS,Proportion of adolescents and adults (aged 15 years and older) with an account at a financial institution or mobile money service provider
GN_IT_MOB_OWN,Proportion of individuals who own a mobile telephone
GN_LF_PTCPN,Labour force participation rate
GN_MTNTY_LV_BNFTS,Maternity leave benefits
GN_PTNTY_LV_BNFTS,Paternity leave benefits
GN_UNMPLY,Labour force unemployment rate
HVA_EPI_DTH_ANN,Estimated number of annual AIDS-related deaths
HVA_EPI_DTH_RT,"Estimated rate of annual AIDS-related deaths (per 100,000 population)"
HVA_EPI_INF_ANN,Estimated number of new HIV infections
HVA_EPI_INF_RT,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)"
HVA_EPI_LHIV,Estimated number of children living with HIV
HVA_PED_ART_CVG,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART)
HVA_PED_ART_NUM,Reported number of children (aged 0-14 years) receiving antiretroviral treatment (ART)
HVA_PED_EID_CVG,Per cent of infants born to pregnant women living with HIV who received a virological test for HIV within 2 months of birth
HVA_PED_EID_NUM,Reported number of infants born to pregnant women living with HIV who received a virological test for HIV within 2 months of birth
HVA_PED_LOST,Estimated number of children (aged 0-17 years) who have lost one or both parents due to all causes
HVA_PED_LOST_AIDS,Estimated number of children (aged 0-17 years) who have lost one or both parents due to AIDS
HVA_PMTCT_ARV_CVG,Per cent of pregnant women living with HIV receiving effective ARVs for PMTCT (excludes single-dose nevirapine)
HVA_PMTCT_ARV_NUM,Reported number of pregnant woment living with HIV receiving anitretroviral treatments (ARVs) for prevention of mother to child transmission programmes (PMTCT)
HVA_PMTCT_MTCT,Mother-to-child HIV transmission rate
HVA_PMTCT_STAT_CVG,Per cent of pregnant women presenting at ANC who were tested for HIV or already knew their HIV positive status
HVA_PMTCT_STAT_NUM,Reported number of pregnant women presenting at antenatal clinics (ANC) who were tested for HIV or already knew their HIV positive status
HVA_PREV_KNOW_TEST,Per cent of young people (aged 15-24 years) who know a place to get tested for HIV
HVA_PREV_TEST_RES,Per cent of young people (aged 15-24 years) who have ever been tested for HIV and received the result of the last test
IM_BCG,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)
IM_DTP1,Percentage of surviving infants who received the first dose of DTP-containing vaccine
IM_DTP3,Percentage of surviving infants who received the third dose of DTP-containing vaccine
IM_HEPB3,Percentage of surviving infants who received the third dose of hep B-containing vaccine
IM_HIB3,Percentage of surviving infants who received the third dose of Hib-containing vaccine
IM_IPV1,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine
IM_IPV2,Percentage of surviving infants who received the second dose of inactivated polio-containing vaccine
IM_MCV1,Percentage of surviving infants who received the first dose of measles-containing vaccine
IM_MCV2,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"
IM_PAB,Percentage of newborns protected at birth against tetanus with tetanus toxoid
IM_PCV3,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)
IM_POL3,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine
IM_RCV1,Percentage of surviving infants who received the first dose of rubella-containing vaccine
IM_ROTAC,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used)
IM_YFV,Percentage of surviving infants who received yellow fever- containing vaccine (for countries at risk and where the vaccine is in the national schedule)
MG_INTERNAL_DISP_PERS,Internally displaced persons (IDPs)
MG_INTNL_MG_CNTRY_DEST,"International migrants, by country of destination"
MG_NEW_INTERNAL_DISP,New internal displacements
MG_RFGS_CNTRY_ASYLM,"Refugees, by country of asylum"
MG_RFGS_CNTRY_ASYLM_PER1000,"Refugees by host country, per 1000 population"
MG_RFGS_CNTRY_ASYLM_PER_USD_GNI,"Refugees by host country, per 1 USD GNI per capita"
MG_RFGS_CNTRY_ORIGIN,"Refugees, by country of origin"
MNCH_ABR,"Adolescent birth rate (number of live births to adolescent women per 1,000 adolescent women)"
MNCH_ADO_ALCOHOL,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months
MNCH_ANC1,Antenatal care 1+ visit - percentage of women (aged 15-49 years) attended at least once during pregnancy by skilled health personnel
MNCH_ANC4,Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider
MNCH_BIRTH18,Early childbearing - percentage of women (aged 20-24 years) who gave birth before age 18
MNCH_CSEC,C-section rate - percentage of deliveries by cesarean section
MNCH_DEMAND_FP,Demand for family planning satisfied with modern methods - percentage of women (aged 15-49 years)
MNCH_DIARCARE,Careseeking for diarrhoea - percentage of children (under age 5) with diarrhoea for whom advice or treatment was sought from a health facility or provider
MNCH_INFDEC,"Proportion of women aged 15-19 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"
MNCH_INSTDEL,Institutional deliveries - percentage of deliveries in a health facility
MNCH_IPTP,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy
MNCH_ITN,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey
MNCH_ITN2,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months
MNCH_ITNOWN,Percentage of households with at least one insecticide-treated mosquito net (ITN)
MNCH_ITNPREG,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night
MNCH_LIFE_EXPECTANCY,Life expectancy at birth - number of years newborn female children would live if subject to the mortality risks prevailing for the cross section of population at the time of their birth (estimated)
MNCH_LTR_MATERNAL_DEATH,Lifetime risk of maternal death (probability (1 in X) that a 15-year-old girl (in the year of the estimate) will eventually die from a maternal cause)
MNCH_MATERNAL_DEATHS,Maternal deaths (estimated)
MNCH_MLRACT,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs"
MNCH_MLRCARE,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider
MNCH_MLRDIAG,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing
